Feature\Product;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;
CRIOGET_NOT_NEEDED;-;X;X;-;X;-;X;-;-;X;-;X;-;X;X;-;-;-;-;
CRYPTO_MDEBUG;-;X;-;X;X;-;X;-;X;-;X;-;-;X;X;-;X;-;-;
CRYPTO_MDEBUG_ABORT;-;X;X;-;-;X;-;X;-;-;X;X;-;X;-;-;-;-;-;
CRYPTO_MDEBUG_ALL;-;X;-;X;-;X;X;-;-;X;-;X;X;-;-;X;-;X;-;
CRYPTO_MDEBUG_THREAD;-;X;-;X;X;-;X;-;-;X;-;-;X;-;X;X;-;-;-;
CRYPTO_MDEBUG_TIME;-;X;X;-;-;-;X;-;X;X;-;X;X;-;-;-;-;-;-;
CRYPTUI_SELECT_LOCATION_COLUMN;-;X;-;-;X;X;X;-;X;-;-;-;X;X;-;-;-;-;-;
CSWIFT_LIB_NAME;-;X;X;-;-;X;-;X;X;-;-;X;-;X;-;X;-;X;-;
CURSOR_SHOWING;-;X;X;-;-;X;-;-;X;-;X;X;X;-;X;-;-;-;-;
CUSTOM_EXT;-;-;X;X;-;X;-;X;-;X;X;-;-;-;X;X;-;-;-;
C_PRIME;-;X;X;-;-;X;X;-;X;X;-;-;-;-;-;-;-;-;-;
DATE;-;-;X;-;X;-;X;X;X;X;-;X;-;-;-;-;-;-;-;
DEBUG_DECRYPT;-;X;X;-;-;X;X;-;-;X;-;X;-;X;-;X;-;-;-;
DEBUG_KEYGEN;-;-;X;X;-;X;X;-;X;X;-;-;X;-;-;-;-;-;-;
DEBUG_KEYS;-;X;-;X;-;X;X;-;X;-;-;X;-;X;X;-;-;X;-;
DEBUG_PKCS5V2;-;X;-;X;-;X;-;X;X;-;-;-;X;X;X;-;-;-;-;
DEBUG_PRINT_UNKNOWN_CIPHERSUITES;-;X;X;-;-;-;X;X;X;-;X;-;-;X;-;X;-;-;-;
DEBUG_SIGN;-;X;-;-;X;X;-;X;X;-;X;-;X;-;-;-;-;-;-;
DEBUG_TLS;-;X;X;-;X;-;X;-;-;-;X;X;X;-;X;-;-;-;-;
DEBUG_ZENCOD_MD;-;X;-;X;-;-;X;X;X;-;-;X;X;-;-;-;-;-;-;
DEBUG_ZLIB;-;X;-;X;-;-;X;X;X;X;-;-;-;-;X;-;-;-;-;
DEFAULT_HOME;-;-;X;X;X;-;X;-;-;X;-;-;X;X;-;X;-;-;-;
DEF_DSO_METHOD;-;X;-;X;-;X;-;-;X;X;-;X;X;-;X;-;-;-;-;
DES_DEFAULT_OPTIONS;-;-;X;X;-;X;-;-;X;X;X;-;X;X;-;-;-;-;-;
DES_PTR;-;-;X;X;-;X;X;-;X;-;X;-;X;X;-;-;-;-;-;
DES_RISC1;X;-;X;-;X;-;X;-;X;-;X;-;X;-;-;X;X;X;X;
DES_RISC2;-;X;-;X;-;X;-;X;-;X;-;X;-;X;X;-;-;-;-;
DES_UNROLL;-;X;X;-;-;X;-;-;X;X;-;X;-;X;-;-;-;-;-;
DEVRANDOM;-;X;-;X;-;X;X;-;-;X;-;-;X;X;X;-;-;-;-;
DEVRANDOM_EGD;-;X;X;-;-;X;-;X;X;-;X;-;-;X;-;X;-;-;-;
DJGPP;-;X;-;X;X;-;X;-;X;X;-;-;X;-;-;X;-;-;-;
DOXYGEN;-;X;X;-;-;X;X;-;X;-;-;X;-;-;-;X;X;-;-;
DO_TEST;-;X;-;X;-;X;-;-;X;X;X;-;-;X;-;X;-;-;-;
DSO_BEOS;-;X;X;-;-;-;X;X;X;-;X;X;-;-;X;-;-;-;-;
DSO_DLFCN;-;X;X;-;-;X;-;X;-;-;X;X;X;-;-;-;-;-;-;
DSO_VMS;-;-;X;X;X;-;-;-;X;X;X;-;X;-;-;-;-;-;-;
DTLS1_AD_MISSING_HANDSHAKE_MESSAGE;-;-;X;X;X;-;-;-;X;X;X;X;-;-;-;-;-;-;-;
DYNAMIC_ENGINE;-;-;X;X;-;X;-;X;-;-;X;X;-;X;-;-;-;-;-;
EAI_FAMILY;-;X;-;X;X;-;-;X;X;X;-;X;-;-;-;-;-;-;-;
EALREADY;-;X;X;-;X;-;X;-;X;-;X;-;-;X;X;-;-;-;-;
EFENCE;-;X;X;-;X;-;-;X;X;-;-;X;-;X;X;X;-;-;-;
EINPROGRESS;-;X;-;X;X;-;X;-;X;-;X;X;-;-;X;X;-;X;-;
EINTR;-;-;X;X;-;-;X;X;X;-;X;-;-;X;-;-;-;-;-;
EINVAL;-;X;X;-;X;X;-;-;-;X;-;-;X;-;-;-;-;-;-;
EISCONN;-;X;X;-;X;-;X;-;X;-;-;X;-;X;-;X;X;-;-;
EMSGSIZE;-;X;-;X;-;X;X;-;X;-;X;-;-;X;X;-;X;-;-;
ENGINE_CONF_DEBUG;-;-;X;X;X;-;-;X;X;-;X;X;-;-;-;-;-;-;-;
ENGINE_DYNAMIC_SUPPORT;-;X;-;X;-;X;-;-;X;X;-;X;X;X;-;-;-;-;-;
ENGINE_TABLE_DEBUG;-;X;X;-;-;-;X;X;-;X;-;-;X;X;-;-;-;-;-;
ENOMEM;-;X;-;X;X;X;-;X;-;-;-;X;X;-;X;X;-;-;-;
ENOTCONN;-;X;-;X;X;-;X;X;-;-;X;X;-;-;-;-;-;-;-;
ENOTDIR;-;X;-;X;X;-;X;X;-;-;-;X;X;-;-;-;-;-;-;
ENOTTY;-;X;-;X;-;X;X;X;-;-;X;-;-;X;-;-;-;-;-;
EPROTO;-;X;-;X;X;X;-;X;-;-;X;X;-;-;-;-;-;-;-;
EVMSERR;-;-;X;X;X;-;X;-;-;-;X;X;-;X;-;-;-;-;-;
EVP_CHECK_DES_KEY;-;-;X;X;-;-;-;X;X;X;X;-;-;-;-;-;-;-;-;
EVP_CIPH_FLAG_AEAD_CIPHER;-;X;X;-;X;-;X;-;-;X;-;-;-;X;X;X;-;-;-;
EVP_CIPH_FLAG_DEFAULT_ASN1;-;X;-;-;X;-;X;X;X;-;X;X;-;-;-;-;-;-;-;
EXPERIMENTAL_STR_TO_STRONG_KEY;-;X;-;X;-;X;X;-;-;X;X;-;X;-;X;-;-;-;-;
FD_SETSIZE;-;X;-;X;-;X;X;X;-;-;-;X;-;X;-;-;-;-;-;
FIONBIO;-;X;X;-;X;-;X;-;X;-;-;X;-;X;-;X;-;X;-;
FIPS_AUTH_USER_PASS;-;-;X;X;-;X;-;X;X;-;X;-;-;X;-;-;X;-;-;
FIXBUG;-;X;X;-;-;X;-;X;X;-;-;X;-;X;X;-;-;-;-;
FIX_BUG;-;-;X;-;X;X;-;X;X;X;-;-;X;-;-;-;-;-;-;
FULL_TEST;-;-;X;X;-;X;-;X;X;-;-;X;-;X;X;-;-;-;-;
FULL_UNROLL;-;X;-;X;X;-;-;-;X;X;X;-;-;X;-;-;-;-;-;
FindFirstFile;-;-;X;X;-;X;-;X;-;X;-;X;X;-;-;-;X;-;-;
GCM_FUNCREF_4BIT;-;-;X;X;-;X;X;-;-;X;X;X;-;-;-;-;-;-;-;
GENCB_TEST;-;X;-;X;X;-;-;X;-;X;-;X;X;X;-;X;-;-;-;
GENUINE_DSA;-;X;-;X;-;X;-;X;X;-;-;X;X;-;-;X;X;-;-;
GETPID_IS_MEANINGLESS;-;-;X;-;X;X;X;-;X;X;-;-;X;-;-;-;-;-;-;
GETU32;-;-;X;X;X;-;-;X;X;-;-;X;-;X;-;-;-;-;-;
GHASH;-;X;-;X;-;X;X;-;-;X;-;-;X;-;X;X;-;-;-;
GHASH_ASM;-;X;X;-;-;X;-;X;X;-;-;-;X;X;-;X;-;-;-;
GHASH_CHUNK;-;-;X;X;X;-;-;X;-;X;X;-;-;X;-;-;-;-;-;
GMP_LIB_NAME;-;X;X;X;-;X;-;-;-;-;X;-;X;-;-;-;-;-;-;
GOST_LIB_NAME;-;X;-;X;X;-;X;-;-;X;-;X;-;X;-;-;-;-;-;
GO_FOR_MMX;-;X;-;X;-;X;X;-;-;X;-;X;-;X;-;X;-;-;-;
HAVE_DLFCN_H;-;-;X;X;X;-;-;X;X;X;-;-;-;X;-;-;-;-;-;
HAVE_DLINFO;-;X;X;-;-;X;X;-;X;-;-;-;X;X;-;X;-;X;-;
HAVE_FORK;-;-;X;X;X;-;X;-;X;-;X;-;-;-;X;-;-;-;-;
HAVE_LONG_DOUBLE;-;X;X;-;-;-;X;X;X;-;X;-;X;-;X;-;-;-;-;
HAVE_LONG_LONG;-;-;X;-;X;X;-;X;-;-;X;X;-;-;-;-;-;-;-;
HAVE_STRSTR;-;X;-;X;-;X;X;-;-;-;X;X;X;-;X;-;-;-;-;
HAVE_STRTOUL;-;X;X;-;X;-;-;X;-;X;-;X;X;X;-;-;X;-;-;
HAVE_SYSLOG_R;-;X;-;X;-;X;X;-;X;-;-;X;-;-;-;X;X;-;-;
HAVE_UBSEC_DH;-;-;X;X;-;X;X;X;-;-;-;X;-;-;-;-;-;-;-;
HEADER_BSS_FILE_C;-;X;X;-;X;X;-;-;X;-;-;X;-;X;-;-;-;-;-;
HMAC_TEST_PRIVATE_KEY_FORMAT;-;X;X;-;X;-;-;X;X;-;X;-;-;X;X;-;-;-;-;
HWCRHK_LIB_NAME;-;-;X;X;X;-;-;-;X;X;-;X;X;X;-;X;-;-;-;
HZ;-;-;X;X;-;X;-;X;X;X;-;-;-;X;-;-;-;-;-;
I386_ONLY;-;X;-;X;-;X;X;-;X;-;-;X;-;X;X;-;-;-;X;
IBMCA_LIB_NAME;-;X;-;X;-;-;X;X;-;-;X;X;X;-;-;-;-;-;-;
IN6_IS_ADDR_V4MAPPED;-;X;-;X;X;-;-;X;X;-;X;-;X;X;X;-;-;-;-;
IPPROTO_TCP;-;X;-;X;X;X;-;-;X;X;-;-;X;-;-;X;-;-;-;
IPV6_MTU;-;-;X;X;X;X;-;-;-;X;-;X;-;X;-;X;X;-;-;
IPV6_MTU_DISCOVER;-;-;X;X;-;X;-;X;X;-;-;X;X;X;-;-;-;-;-;
IP_MTU;-;X;X;X;-;-;X;-;-;X;-;X;-;-;-;-;-;-;-;
IP_MTU_DISCOVER;-;X;X;-;-;X;X;-;-;X;X;-;-;X;X;-;-;-;-;
IRIX;-;X;-;X;-;X;-;X;-;X;X;-;X;-;X;X;-;-;-;
IRIX_CC_BUG;-;X;X;-;X;-;-;X;X;-;X;-;X;-;X;-;-;-;-;
KRB5SENDAUTH;-;X;X;-;X;-;X;-;-;X;X;-;X;-;-;-;-;-;-;
