Feature\Product;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;
OPENSSL_NO_EC2M;-;-;X;X;X;-;-;X;-;X;X;-;-;-;X;-;X;-;-;
OPENSSL_NO_ECDH;-;-;X;-;X;X;X;-;X;-;X;X;-;-;X;-;X;-;-;
OPENSSL_NO_ECDSA;-;X;-;X;-;-;X;X;-;X;-;-;X;X;-;-;-;-;-;
OPENSSL_NO_EC_NISTP_64_GCC_128;-;X;X;-;-;X;X;-;-;-;X;X;X;-;-;-;-;-;-;
OPENSSL_NO_ENGINE;-;X;X;-;-;X;-;X;X;-;X;X;-;-;-;X;-;-;-;
OPENSSL_NO_ERR;-;X;X;-;X;-;X;-;-;X;-;-;X;X;-;X;-;-;-;
OPENSSL_NO_FP_API;-;X;X;-;-;-;X;X;-;X;-;X;-;X;X;-;-;-;-;
OPENSSL_NO_GMP;-;-;X;X;X;-;X;-;X;-;-;X;-;-;X;-;-;-;-;
OPENSSL_NO_GOST;-;X;-;X;-;X;X;X;-;-;X;-;X;-;X;-;-;-;-;
OPENSSL_NO_HASH_COMP;-;X;-;X;X;-;X;-;X;-;X;-;X;-;X;-;-;X;-;
OPENSSL_NO_HEARTBEATS;-;X;-;X;-;X;X;-;-;X;X;X;-;-;X;-;X;-;-;
OPENSSL_NO_HMAC;-;X;-;X;X;-;-;X;-;X;-;X;-;X;X;X;-;-;-;
OPENSSL_NO_HW;-;-;X;-;X;X;X;-;-;X;X;-;X;-;-;-;-;-;-;
OPENSSL_NO_HW_4758_CCA;-;-;X;-;X;X;X;X;-;X;-;-;-;-;-;-;-;-;-;
OPENSSL_NO_HW_AEP;-;X;X;X;-;-;X;-;-;-;X;X;-;-;-;-;-;-;-;
OPENSSL_NO_HW_ATALLA;-;-;X;X;X;-;-;X;-;X;X;-;-;-;X;X;-;-;-;
OPENSSL_NO_HW_CHIL;-;X;X;-;X;-;X;-;-;X;X;X;-;-;-;-;-;-;-;
OPENSSL_NO_HW_CSWIFT;-;X;-;-;X;X;X;-;-;X;X;-;X;-;-;-;-;-;-;
OPENSSL_NO_HW_IBMCA;-;-;X;X;-;X;-;X;X;-;-;-;X;X;-;-;X;-;-;
OPENSSL_NO_HW_NCIPHER;-;X;X;-;-;X;-;X;X;-;X;-;-;X;X;-;-;-;-;
OPENSSL_NO_HW_NURON;-;X;X;-;-;X;X;X;-;-;-;X;-;-;-;-;-;-;-;
OPENSSL_NO_HW_PADLOCK;-;X;X;-;-;-;X;X;X;-;X;-;-;X;X;-;-;X;-;
OPENSSL_NO_HW_SUREWARE;-;X;X;-;-;X;-;X;-;X;X;-;-;X;-;-;-;-;-;
OPENSSL_NO_HW_UBSEC;-;X;-;X;X;X;-;X;-;-;X;-;X;X;-;-;-;-;-;
OPENSSL_NO_HW_ZENCOD;-;X;X;-;X;-;X;-;X;-;X;-;X;-;X;-;-;X;-;
OPENSSL_NO_IDEA;-;X;-;X;X;X;-;-;-;X;X;-;-;X;-;-;-;-;-;
OPENSSL_NO_INLINE_ASM;-;X;X;-;X;X;-;X;-;-;-;X;-;-;-;-;-;-;-;
OPENSSL_NO_JPAKE;-;X;X;X;-;-;X;-;X;-;-;-;-;-;-;-;-;-;-;
OPENSSL_NO_MD2;-;-;X;X;X;-;-;-;X;-;X;X;X;X;-;-;-;-;-;
OPENSSL_NO_MD4;-;-;X;X;X;-;-;-;X;-;X;X;X;-;X;-;-;-;-;
OPENSSL_NO_MD5;-;X;X;-;-;X;X;-;X;-;-;X;-;X;X;-;-;-;-;
OPENSSL_NO_MDC2;-;-;X;X;X;-;-;X;X;-;X;-;-;X;X;-;-;-;-;
OPENSSL_NO_MULTIBYTE;-;-;X;X;-;-;X;X;X;-;-;X;-;X;-;-;-;-;-;
OPENSSL_NO_NEXTPROTONEG;-;X;-;X;X;X;-;-;X;-;X;X;-;-;-;-;-;-;-;
OPENSSL_NO_OBJECT;-;X;-;X;X;X;-;-;-;X;X;X;-;-;-;-;-;-;-;
OPENSSL_NO_OCSP;-;X;-;-;X;X;X;X;-;X;-;-;-;X;-;-;-;-;-;
OPENSSL_NO_POSIX_IO;-;X;-;X;X;-;-;X;-;X;-;X;X;-;X;X;-;-;-;
OPENSSL_NO_PSK;-;X;-;X;X;-;-;X;-;X;X;-;-;X;-;X;-;-;-;
OPENSSL_NO_RC2;-;-;X;X;X;-;-;X;-;-;X;-;X;-;X;-;X;X;-;
OPENSSL_NO_RC4;-;-;X;X;X;-;-;X;-;-;X;-;X;-;X;-;X;-;X;
OPENSSL_NO_RC5;-;-;X;X;X;-;-;X;-;-;X;-;X;-;X;X;-;-;-;
OPENSSL_NO_RDRAND;-;-;X;X;-;X;X;-;X;-;-;-;X;X;X;-;-;-;-;
OPENSSL_NO_RFC3779;-;-;X;-;X;X;X;-;X;X;-;X;-;-;X;-;-;-;-;
OPENSSL_NO_RIPEMD;-;X;X;X;-;-;-;X;X;-;-;X;-;-;-;-;-;-;-;
OPENSSL_NO_RIPEMD160;-;X;X;-;X;-;-;X;-;X;X;-;X;-;X;-;-;-;-;
OPENSSL_NO_RSA;-;X;-;X;-;X;X;-;-;X;-;-;X;X;-;X;-;-;-;
OPENSSL_NO_RSAX;-;X;-;-;X;-;X;X;-;X;X;-;-;-;-;-;-;-;-;
OPENSSL_NO_SCTP;-;X;-;X;X;-;-;X;X;X;-;-;X;-;-;X;-;-;-;
OPENSSL_NO_SEED;-;X;-;-;X;X;-;X;X;X;-;-;X;-;-;-;-;-;-;
OPENSSL_NO_SETVBUF_IONBF;-;X;-;X;-;X;-;X;X;-;X;-;X;-;-;X;X;-;-;
OPENSSL_NO_SHA;-;X;X;X;-;X;-;-;X;X;X;X;-;-;X;-;X;X;X;
OPENSSL_NO_SHA0;X;X;-;-;X;-;X;X;-;-;X;-;X;X;-;X;-;-;-;
OPENSSL_NO_SHA1;X;X;-;-;X;-;X;X;-;X;-;-;X;X;-;X;-;-;-;
OPENSSL_NO_SHA256;-;X;-;X;-;X;-;X;-;X;-;X;-;-;X;X;-;-;-;
OPENSSL_NO_SHA512;-;X;-;-;X;X;-;X;-;X;X;-;-;-;-;-;-;-;-;
OPENSSL_NO_SOCK;-;X;-;X;X;X;X;-;-;-;-;-;X;X;-;-;-;-;-;
OPENSSL_NO_SPEED;-;-;X;X;-;X;X;-;-;X;-;X;X;-;X;-;-;-;-;
OPENSSL_NO_SRP;-;-;X;X;X;-;X;-;X;X;-;-;-;X;-;-;-;-;-;
OPENSSL_NO_SRTP;-;X;-;-;X;X;X;-;X;X;-;-;-;-;X;-;-;-;-;
OPENSSL_NO_SSL2;-;-;X;-;X;X;X;-;X;-;X;X;-;X;-;-;-;-;-;
OPENSSL_NO_SSL3;-;-;X;-;X;X;X;-;X;-;X;X;-;-;X;X;-;-;-;
OPENSSL_NO_STATIC_ENGINE;-;X;X;-;X;-;X;-;X;-;-;X;-;X;X;-;-;-;-;
OPENSSL_NO_STDIO;-;-;X;X;-;X;X;-;-;-;X;X;-;X;-;-;-;-;-;
OPENSSL_NO_TLS;-;X;X;-;X;-;-;-;X;X;X;-;-;X;-;-;-;-;-;
OPENSSL_NO_TLS1;-;X;-;X;-;X;-;X;-;X;X;-;X;-;X;-;X;-;-;
OPENSSL_NO_TLS1_2_CLIENT;-;-;X;X;X;X;-;-;-;X;X;-;X;-;-;-;-;-;-;
OPENSSL_NO_TLSEXT;-;X;-;X;X;-;X;-;X;X;-;-;-;X;-;-;-;X;-;
OPENSSL_NO_WHIRLPOOL;-;-;X;X;-;-;X;X;-;X;X;-;X;-;-;-;-;-;-;
OPENSSL_NO_X509_VERIFY;-;X;-;X;-;X;-;X;X;-;-;X;X;-;-;X;-;X;-;
OPENSSL_OPENBSD_DEV_CRYPTO;-;X;-;X;-;X;X;-;X;-;-;-;X;X;-;X;-;-;-;
OPENSSL_PIC;-;-;X;X;-;-;X;X;X;X;-;-;-;-;-;-;-;-;-;
OPENSSL_POLICY_DEBUG;-;X;X;-;-;X;-;-;X;X;-;X;X;-;-;-;-;-;-;
OPENSSL_RI_DEBUG;-;X;X;-;X;-;-;X;X;-;-;X;-;X;X;-;X;-;-;
OPENSSL_SMALL_FOOTPRINT;-;X;-;-;X;X;X;-;-;X;X;X;-;-;X;-;-;-;-;
OPENSSL_SSL_CLIENT_ENGINE_AUTO;-;-;X;X;X;-;-;X;-;-;X;-;X;X;-;-;-;-;-;
OPENSSL_SUN_GF2M_DIV;-;X;-;X;X;-;X;-;-;-;X;X;X;-;X;-;-;-;-;
OPENSSL_SYS_LINUX;-;-;X;X;X;-;X;X;-;-;-;X;X;-;-;-;-;-;-;
OPENSSL_SYS_MACOSX;-;X;X;-;X;-;X;X;-;-;-;X;-;-;-;-;-;-;-;
OPENSSL_SYS_MPE;-;-;X;X;-;X;X;-;X;-;X;-;-;-;X;X;-;-;-;
OPENSSL_SYS_SUNOS;-;X;X;-;-;X;X;-;X;-;X;-;-;X;X;-;-;-;-;
OPENSSL_SYS_UNIX;-;-;X;-;X;X;-;X;X;-;X;-;-;-;-;-;-;-;-;
OPENSSL_SYS_VOS;-;X;-;X;X;-;X;-;-;X;X;-;X;-;-;X;-;-;-;
OPENSSL_SYS_VOS_HPPA;X;-;X;-;X;X;X;X;-;-;-;X;-;X;-;X;X;X;X;
OPENSSL_SYS_VOS_IA32;-;X;-;X;X;X;-;-;X;X;X;-;X;-;X;-;-;-;-;
OPENSSL_THREADS;-;X;X;-;-;X;-;X;-;X;X;-;-;-;X;X;-;-;-;
OPENSSL_TIME_TEST;-;X;-;X;-;-;X;X;-;X;-;X;X;-;-;-;-;-;-;
OPENSSL_UNISTD;-;X;-;X;-;X;-;-;X;X;X;-;-;X;X;-;-;-;-;
OPENSSL_USE_IPV6;-;-;X;X;-;X;-;X;-;X;-;X;X;-;-;X;-;-;-;
OPENSSl_NO_DH;-;X;X;-;X;-;-;X;-;X;-;X;X;X;-;X;-;-;-;
O_BINARY;-;X;-;X;X;-;-;X;X;-;X;-;X;X;-;-;X;-;-;
O_CREAT;-;X;-;X;X;X;X;-;-;-;-;X;-;X;-;-;-;-;-;
O_NOCTTY;-;X;X;-;-;X;X;-;-;X;X;X;-;-;-;-;-;-;-;
O_NONBLOCK;-;X;X;-;-;X;-;X;-;X;-;X;X;-;X;-;-;-;-;
PART1;-;X;X;-;X;X;-;-;-;-;X;X;X;-;X;-;-;-;-;
PART2;-;X;X;-;X;X;-;-;-;-;X;X;-;X;-;-;-;-;-;
PART3;-;X;X;-;X;X;X;-;-;-;-;-;X;-;-;-;-;-;-;
PART4;-;X;X;-;X;X;X;-;-;-;-;X;-;-;-;-;-;-;-;
PATH_MAX;-;X;-;X;-;X;X;-;X;-;-;X;-;X;-;X;-;-;-;
PBE_PRF_TEST;-;X;X;X;-;-;-;-;X;X;-;X;X;-;-;-;-;-;-;
PEDANTIC;-;X;-;X;X;X;-;-;X;-;X;-;-;X;-;X;-;-;-;
PKCS12_BROKEN_KEYGEN;-;X;-;X;X;X;-;-;X;-;-;X;X;-;-;-;-;-;-;
PKCS1_CHECK;-;X;-;X;-;X;X;-;-;X;X;-;-;-;X;X;-;-;-;
PKCS_TESTVECT;-;X;-;X;X;-;-;X;X;X;-;-;-;X;-;X;-;-;-;
PKT_DEBUG;-;X;-;X;-;-;X;X;X;-;X;-;-;X;-;-;-;-;-;
PLATFORM;-;X;X;X;-;-;-;X;X;-;X;-;-;-;-;-;-;-;-;
PREDICT;-;-;X;X;X;X;-;-;-;-;X;X;X;-;-;X;-;-;-;
PTHREADS;-;-;X;X;X;-;X;-;-;-;X;-;X;X;-;-;-;-;-;
PULL64;-;-;X;X;X;-;X;-;-;X;-;-;X;X;X;-;-;-;-;
PURIFY;-;X;-;X;X;-;X;-;X;-;X;-;X;-;X;-;X;-;-;
PUTU32;-;X;X;-;-;-;X;X;X;X;-;-;X;-;-;-;-;-;-;
RC4_CHUNK;-;X;-;X;-;X;-;X;-;X;-;X;X;-;X;-;-;X;-;
RC4_INDEX;-;X;X;-;-;-;X;X;-;X;-;X;-;X;-;X;-;-;-;
RECP_MUL_MOD;-;X;X;-;X;-;X;X;-;-;-;-;X;-;-;-;-;-;-;
REF_CHECK;-;-;X;X;X;X;-;-;-;X;-;X;X;-;-;-;-;-;-;
REF_PRINT;-;X;-;X;-;X;-;X;-;X;X;-;X;X;-;-;-;-;-;
REMAINDER_IS_ALREADY_CALCULATED;-;-;X;X;X;-;X;-;X;-;-;X;-;X;-;-;X;-;-;
RENEG;-;X;X;-;-;X;X;-;-;X;-;X;X;X;-;-;-;-;-;
REQUEST_EXTENSIONS;-;X;-;X;X;-;X;-;X;-;X;X;-;X;-;-;X;-;-;
REUSE_CIPHER_BUG;-;-;X;-;X;X;-;X;X;X;-;X;-;-;-;-;-;-;-;
RL_DEBUG;-;X;-;X;-;X;-;X;X;-;-;X;-;X;X;-;-;-;-;
ROTATE;-;-;X;X;X;-;X;X;-;-;-;X;-;X;-;-;-;-;-;
ROTR;-;-;X;X;X;-;X;-;-;X;-;X;-;X;-;X;-;X;-;
RSAREF_LIB_NAME;-;X;-;X;-;X;X;-;-;X;-;X;X;-;X;-;X;-;-;
RSA_DEBUG;-;X;-;X;X;-;X;-;X;-;-;X;-;X;X;-;-;-;-;
RSA_NULL;-;-;X;X;-;X;X;-;X;-;X;-;X;-;X;-;-;-;-;
RTLD_GLOBAL;-;-;X;X;-;-;X;X;-;X;-;X;-;X;-;-;-;-;-;
RightRotate;-;X;-;X;X;X;-;X;-;-;-;X;X;-;X;-;X;-;-;
SCREW_THE_PARITY;-;X;-;X;-;X;X;-;X;-;-;X;-;-;X;-;X;-;-;
SCTP_AUTHENTICATION_EVENT;-;X;-;X;X;-;X;-;X;-;X;-;-;X;X;X;-;-;-;
SCTP_AUTH_DEACTIVATE_KEY;-;-;X;X;X;-;-;-;-;X;X;X;X;-;-;-;-;-;-;
SCTP_EVENT;-;X;-;X;X;-;-;X;X;-;-;X;X;-;-;-;-;-;-;
SCTP_PRINFO;-;-;X;X;-;-;X;X;X;-;-;X;X;-;-;-;-;-;-;
SCTP_PR_SCTP_NONE;-;X;-;X;X;X;X;-;-;-;X;-;-;-;X;-;-;-;-;
SCTP_RCVINFO;-;X;-;X;-;X;X;-;X;-;X;-;X;-;-;-;X;-;-;
SCTP_SACK_IMMEDIATELY;-;X;X;-;X;-;X;-;-;X;-;X;X;-;X;-;-;-;-;
SCTP_SNDINFO;-;-;X;X;X;X;-;-;X;-;-;X;X;-;-;-;-;-;-;
SCTP_SNDRCV;-;-;X;X;-;-;X;X;X;-;X;-;X;-;-;-;-;-;-;
SELFTEST;-;-;X;X;X;-;-;X;X;-;-;-;X;-;X;X;-;-;-;
SGTTY;-;X;-;X;-;X;-;X;-;X;-;X;X;X;-;-;-;-;-;
SHA256_ASM;-;-;X;X;X;-;-;X;-;X;-;X;X;-;-;X;-;-;-;
SHA512_ASM;-;X;X;-;-;X;-;X;X;X;-;-;-;-;-;-;-;-;-;
SHA512_BLOCK_CAN_MANAGE_UNALIGNED_DATA;-;X;-;X;-;-;X;X;-;X;-;X;-;X;-;-;-;-;-;
SHA_0;-;X;-;X;X;-;X;-;-;X;-;X;-;-;X;X;-;-;-;
SHA_1;-;X;-;X;X;-;X;-;-;X;X;-;-;-;X;X;-;-;-;
SIGACTION;-;X;-;X;-;X;-;-;X;X;X;X;X;-;-;-;-;-;-;
SIGALARM;-;-;X;X;X;-;X;-;X;-;-;-;X;X;-;-;-;-;-;
SIGALRM;-;X;-;-;X;X;X;-;-;X;X;X;-;X;-;-;-;-;-;
SIGEMT;-;-;X;X;-;X;-;X;X;X;-;-;-;-;X;-;-;-;-;
SIGINT;-;X;X;-;X;X;-;-;-;-;X;X;X;-;-;X;-;-;-;
SIGKILL;-;X;X;-;-;X;-;X;X;-;-;-;X;X;X;-;-;-;-;
SIGUSR1;-;-;X;X;-;X;X;-;X;-;X;-;-;X;X;-;-;X;-;
SIGUSR2;-;-;X;X;-;X;X;-;X;-;X;-;-;X;X;-;X;-;-;
SIGWINCH;-;X;-;X;X;-;-;X;X;-;X;-;X;-;X;X;-;X;-;
SIMICS;-;X;-;X;-;X;X;-;X;-;-;X;-;X;-;-;X;-;-;
SIXTY_FOUR_BIT;-;X;X;-;-;X;X;-;X;-;X;-;-;X;-;X;-;-;-;
SIXTY_FOUR_BIT_LONG;-;-;X;X;-;-;X;X;X;-;-;X;-;-;X;-;-;-;-;
SMALL_REGISTER_BANK;-;-;X;X;-;X;-;X;-;X;-;-;X;X;X;-;-;-;-;
SOLARIS;-;X;X;-;X;-;-;X;-;X;-;X;X;-;X;-;-;-;-;
SOL_SOCKET;-;X;X;-;X;-;-;X;-;X;-;X;-;-;X;X;-;-;-;
SOL_TCP;-;X;X;-;-;X;X;-;-;X;-;-;X;X;X;-;-;-;-;
SOMAXCONN;-;-;X;X;-;X;-;X;X;-;X;-;-;-;X;-;-;-;-;
SO_KEEPALIVE;-;X;-;X;-;X;-;X;X;X;-;-;X;-;-;-;-;-;-;
SO_MAXCONN;-;X;-;X;-;X;X;-;-;X;-;X;-;X;X;-;-;-;-;
SO_RCVTIMEO;-;-;X;X;-;-;X;X;-;X;X;-;-;X;-;-;-;-;-;
SO_REUSEADDR;-;X;-;X;-;X;X;-;-;X;-;X;X;-;X;-;-;X;-;
SO_SNDTIMEO;-;-;X;X;-;X;X;-;-;X;X;-;-;X;X;-;X;-;-;
SS;-;X;X;-;-;X;-;X;-;X;-;X;X;-;-;X;-;-;-;
SSIZE_MAX;-;X;X;-;X;-;X;-;-;X;X;-;-;X;-;-;-;-;-;
SSL3_ALIGN_PAYLOAD;-;X;-;X;X;-;X;-;X;X;-;-;-;X;-;-;X;-;-;
SSL_AD_MISSING_SRP_USERNAME;-;X;X;-;-;X;-;X;-;X;-;-;X;X;X;-;-;-;-;
SSL_DEBUG;-;X;X;-;-;X;-;X;-;X;X;-;X;-;-;X;-;-;-;
SSL_FORBID_ENULL;-;X;X;-;-;X;X;-;X;-;-;-;X;X;-;X;X;-;-;
STD_ERROR_HANDLE;-;X;-;-;X;X;X;X;-;X;-;-;X;-;X;-;-;-;-;
STD_INPUT_HANDLE;-;X;-;X;-;X;X;-;-;X;X;-;X;X;-;-;-;-;-;
STD_OUTPUT_HANDLE;-;-;X;X;X;X;-;-;-;X;-;X;-;X;-;X;-;X;-;
STITCHED_CALL;-;-;X;X;X;X;-;X;-;-;-;-;-;-;-;-;-;-;-;
STRICT_ALIGNMENT;-;X;X;-;X;-;X;-;X;-;X;-;X;-;-;X;-;-;-;
STRING_TABLE_TEST;-;-;X;X;-;X;-;X;X;-;-;-;X;X;-;X;-;-;-;
SUREWARE_LIB_NAME;-;X;X;-;-;X;X;-;X;-;X;-;X;-;-;-;-;-;-;
SXNET_TEST;-;X;X;-;X;-;X;-;X;-;-;-;X;X;X;-;-;-;-;
S_IFBLK;-;X;-;X;X;-;X;-;-;X;-;-;X;X;X;-;-;-;-;
S_IFCHR;-;-;X;X;X;-;X;X;-;-;-;-;X;X;-;-;-;-;-;
S_ISBLK;-;-;X;-;X;X;X;-;X;X;-;X;-;X;-;-;-;-;-;
S_ISCHR;-;X;X;-;-;X;-;-;X;X;X;-;X;-;-;X;-;-;-;
S_ISDIR;-;-;X;X;X;-;-;-;X;X;-;X;-;X;X;X;-;-;-;
TCP_NODELAY;-;X;-;X;X;-;X;X;-;-;X;-;X;-;-;-;-;-;-;
TEMP_GOST_TLS;-;-;X;X;X;-;-;X;-;X;-;-;X;X;X;-;-;-;-;
TERMIO;-;X;-;X;X;-;-;X;X;-;X;-;-;X;X;X;-;-;-;
TERMIOS;-;X;-;-;X;X;X;X;X;-;-;-;-;-;-;-;-;-;-;
TEST;-;X;X;-;-;X;-;X;X;-;-;X;X;-;-;X;X;-;-;
TEST_ENG_OPENSSL_NO_ALGORITHMS;-;-;X;X;X;X;-;-;-;-;X;X;-;X;-;-;-;-;-;
TEST_ENG_OPENSSL_PKEY;-;X;-;X;-;X;-;X;-;X;-;X;X;-;X;-;X;-;-;
TEST_ENG_OPENSSL_RC4;-;X;X;X;-;-;-;X;-;X;-;X;X;-;-;-;-;-;-;
TEST_ENG_OPENSSL_RC4_OTHERS;-;X;-;X;-;X;-;X;-;X;X;-;-;X;X;X;-;-;-;
TEST_ENG_OPENSSL_RC4_P_CIPHER;-;X;-;X;-;X;-;X;X;-;X;-;-;X;X;-;-;-;-;
TEST_ENG_OPENSSL_RC4_P_INIT;-;X;X;-;-;-;X;-;X;X;X;X;-;-;-;-;-;-;-;
TEST_ENG_OPENSSL_SHA;-;X;-;X;X;X;-;-;X;X;-;-;-;X;-;-;-;-;-;
TEST_ENG_OPENSSL_SHA_OTHERS;-;X;X;-;-;X;X;-;X;-;-;X;-;X;-;X;-;-;-;
TEST_ENG_OPENSSL_SHA_P_FINAL;-;X;-;-;X;X;X;-;X;-;X;-;X;-;-;X;-;-;-;
TEST_ENG_OPENSSL_SHA_P_INIT;-;-;X;X;X;-;X;X;-;-;-;-;-;X;X;-;-;-;-;
TEST_ENG_OPENSSL_SHA_P_UPDATE;-;X;X;-;-;-;X;-;X;X;X;-;X;-;-;-;-;-;-;
TEST_EXP;-;-;X;X;X;-;-;X;X;-;X;-;-;X;-;X;-;-;-;
TEST_GCD;-;X;-;X;X;-;-;X;X;X;-;-;-;X;X;-;-;-;-;
TEST_INV;-;X;X;-;X;-;X;-;-;X;-;-;X;-;X;X;-;-;-;
TEST_KRON;-;X;X;-;X;-;X;-;X;-;-;X;X;-;-;-;-;-;-;
TEST_MUL;-;X;-;X;-;-;X;X;X;-;X;-;X;-;-;-;-;-;-;
TEST_SQR;-;X;-;X;-;X;X;-;X;-;-;-;X;-;X;X;-;-;-;
TEST_SQRT;-;-;X;X;X;-;-;X;X;-;-;X;X;-;-;X;-;-;-;
THIRTY_TWO_BIT;-;X;X;-;X;-;X;-;-;-;X;X;X;X;-;-;-;-;-;
TIMES;-;X;X;-;X;X;-;-;X;-;-;-;X;X;-;-;-;-;-;
TLS1_ALLOW_EXPERIMENTAL_CIPHERSUITES;-;-;X;X;-;X;X;-;-;X;X;-;X;-;-;X;X;-;-;
TLSEXT_TYPE_next_proto_neg;-;X;-;X;-;X;X;-;X;-;X;-;-;-;X;X;-;-;-;
TLSEXT_TYPE_opaque_prf_input;-;-;X;X;-;X;X;-;-;X;X;-;-;X;X;-;-;X;-;
TLS_APP;-;X;-;X;X;-;-;-;X;X;X;X;-;-;-;-;-;-;-;
TLS_APP_ERRFLUSH;-;-;X;X;X;-;-;X;-;X;-;X;X;X;-;-;-;-;-;
TLS_APP_PROCESS_INIT;-;X;-;X;-;X;-;X;X;-;X;-;-;-;X;X;X;-;-;
TLS_CUMULATE_ERRORS;-;X;-;X;X;-;X;-;X;X;-;-;X;-;X;-;-;-;-;
TLS_DEBUG;-;-;X;X;-;X;X;-;-;X;-;-;X;X;X;-;-;-;-;
TLS_ERROR_BUFSIZ;-;-;X;X;-;X;-;X;-;X;-;X;X;X;-;-;-;-;-;
TRUNCATE;-;-;X;X;-;X;-;X;-;X;X;-;X;X;-;-;-;-;-;
TTY_FLAGS;-;-;X;X;-;X;X;-;X;X;-;X;-;-;-;-;-;-;-;
TTY_get;-;X;X;-;X;-;-;X;X;-;X;X;-;-;-;-;-;-;-;
TTY_set;-;X;-;X;-;X;-;X;X;-;X;-;X;X;-;-;-;-;-;
UBSEC_LIB_NAME;-;X;X;-;X;X;-;-;-;X;X;-;-;-;-;-;-;-;-;
UNALIGNED_MEMOPS_ARE_FAST;-;X;-;X;X;X;-;X;-;-;X;-;X;-;X;-;-;-;-;
UNDEF;-;X;X;-;-;X;-;X;-;X;-;-;X;X;-;X;-;-;-;
UNICODE;-;X;-;X;X;-;-;X;-;X;-;X;X;X;X;-;-;-;-;
UP_fsetmod;-;X;-;X;X;X;-;-;-;X;-;X;X;-;-;-;-;-;-;
USE_CRYPTODEV_DIGESTS;-;-;X;X;-;X;X;-;-;X;X;-;X;-;-;X;-;X;-;
USE_DECC_INIT;-;X;X;-;-;X;X;-;X;-;-;-;X;X;X;-;-;-;-;
USE_MUTEX;-;X;X;-;X;-;-;-;X;X;-;-;X;X;-;-;-;-;-;
USE_TOD;-;X;-;X;X;-;X;X;-;-;-;X;-;X;-;-;-;-;-;
USG;-;X;X;-;X;-;-;X;X;-;X;-;X;-;-;X;-;-;-;
VMS_GMTIME_OK;-;X;X;-;X;-;X;-;X;-;-;X;-;-;X;X;-;-;-;
VPAES_ASM;-;X;X;-;-;X;X;-;-;X;X;-;X;-;-;X;-;-;-;
VPAES_CAPABLE;-;-;X;X;X;-;-;X;X;-;-;-;X;X;-;-;-;-;-;
WATT32;-;-;X;X;-;X;X;-;X;-;-;X;-;X;X;-;-;-;-;
WSAAPI;-;-;X;X;X;X;-;-;X;-;X;-;X;-;-;-;-;-;-;
W_OK;-;-;X;X;X;X;-;-;X;-;-;X;-;X;-;-;-;-;-;
X;-;X;X;-;-;X;-;X;-;X;X;X;-;-;-;-;-;-;-;
X509_V3;-;X;X;-;-;X;-;X;-;X;-;X;-;X;-;X;-;-;-;
ZENCOD_LIB_NAME;-;X;-;X;-;X;-;X;-;-;X;X;X;-;-;-;-;-;-;
ZLIB;-;X;-;X;X;-;-;X;X;-;-;X;-;X;X;-;-;-;-;
ZLIB_SHARED;-;X;-;X;-;X;-;X;X;-;X;X;-;X;-;-;-;-;-;
_AIX;-;-;X;X;-;-;X;X;X;-;-;-;X;X;-;-;-;-;-;
_ANSI_C_SOURCE;-;X;-;-;X;X;X;X;-;-;X;-;-;-;-;-;-;-;-;
_ARM_;-;X;X;-;-;-;X;X;X;X;-;-;-;X;-;-;-;-;-;
_CRAY;-;X;X;-;-;X;X;X;-;-;-;-;X;-;-;-;-;-;-;
_FILE_OFFSET_BITS;-;-;X;-;X;X;X;X;-;-;X;-;-;X;-;-;-;-;-;
_IOB_ENTRIES;-;X;-;X;-;X;-;X;X;-;X;-;X;-;X;-;X;-;-;
_IONBF;-;-;X;X;X;-;X;-;-;X;-;X;-;X;X;-;-;-;-;
_LIBC;-;X;-;X;-;X;-;X;X;-;X;-;X;-;X;X;-;-;-;
_MIPS_;-;X;X;-;X;-;X;-;X;-;-;-;X;X;-;X;-;-;-;
_MSC_VER;-;-;X;X;X;-;-;X;X;-;X;-;X;-;-;-;-;-;-;
_M_IX86;-;X;X;-;-;-;X;X;X;-;X;X;-;-;-;X;-;-;-;
_M_X86;-;X;X;X;-;-;X;-;-;X;-;-;X;-;-;-;-;-;-;
_OSD_POSIX;-;X;X;-;-;X;X;-;X;-;-;X;X;-;-;-;-;-;-;
_POSIX_VERSION;-;X;-;X;X;-;X;X;X;-;-;-;-;-;-;-;-;-;-;
_RLD_INTERFACE_DLFCN_H_DLADDR;-;X;X;-;-;X;-;X;-;X;-;X;-;X;X;-;-;-;-;
_SC_CLK_TCK;-;X;X;-;X;X;-;-;-;X;-;X;-;-;X;-;-;-;-;
_UNICODE;-;-;X;X;X;-;-;X;-;-;X;X;X;-;-;-;-;-;-;
_VMS_V6_SOURCE;-;-;X;X;X;-;-;X;X;X;-;X;-;-;-;-;-;-;-;
__APPLE_CC__;-;X;-;X;X;-;X;-;-;X;-;-;-;X;X;-;X;-;-;
__APPLE__;-;X;X;-;-;-;X;X;X;-;X;-;X;-;-;X;-;-;-;
__BORLANDC__;-;-;X;X;-;-;X;-;X;X;X;-;-;-;-;-;-;-;-;
__COMPILE_CAPIENG;-;X;-;-;X;-;X;X;X;-;X;-;X;-;-;-;-;-;-;
__DECC;-;X;-;X;X;X;-;-;X;-;X;-;X;-;-;X;-;-;-;
__ICC;-;-;X;X;X;-;-;-;X;X;-;X;X;-;X;X;-;-;-;
